cluster,ateco
AEROSPACE VEHICLES AND DEFENCE,3030
AGRICULTURAL INPUTS ANDE SERVICES,2015
APPAREL,1411
APPAREL,1412
APPAREL,1413
APPAREL,1414
APPAREL,1419
APPAREL,1420
APPLIANCES,2751
APPLIANCES,2752
AUTOMOTIVE,2453
AUTOMOTIVE,2454
AUTOMOTIVE,2813
AUTOMOTIVE,2910
AUTOMOTIVE,2920
AUTOMOTIVE,2931
AUTOMOTIVE,2932
AUTOMOTIVE,3040
BIOPHARMACEUTICALS,2110
BIOPHARMACEUTICALS,2120
BUSINESS SERVICES,4932
BUSINESS SERVICES,6201
BUSINESS SERVICES,6202
BUSINESS SERVICES,6203
BUSINESS SERVICES,6209
BUSINESS SERVICES,6311
BUSINESS SERVICES,6420
BUSINESS SERVICES,7010
BUSINESS SERVICES,7022
BUSINESS SERVICES,7111
BUSINESS SERVICES,7112
BUSINESS SERVICES,7120
BUSINESS SERVICES,7420
BUSINESS SERVICES,7430
BUSINESS SERVICES,7490
BUSINESS SERVICES,7712
BUSINESS SERVICES,7740
BUSINESS SERVICES,7810
BUSINESS SERVICES,7830
BUSINESS SERVICES,8110
BUSINESS SERVICES,8220
BUSINESS SERVICES,8230
COAL MINING,510
COAL MINING,990
COMMUNICATIONS EQUIPMENT AND SERVICES,2630
COMMUNICATIONS EQUIPMENT AND SERVICES,6120
COMMUNICATIONS EQUIPMENT AND SERVICES,6130
COMMUNICATIONS EQUIPMENT AND SERVICES,6190
CONSTRUCTION PRODUCTS AND SERVICES,2314
CONSTRUCTION PRODUCTS AND SERVICES,2351
CONSTRUCTION PRODUCTS AND SERVICES,2352
CONSTRUCTION PRODUCTS AND SERVICES,2361
CONSTRUCTION PRODUCTS AND SERVICES,2362
CONSTRUCTION PRODUCTS AND SERVICES,2364
CONSTRUCTION PRODUCTS AND SERVICES,2365
CONSTRUCTION PRODUCTS AND SERVICES,2370
CONSTRUCTION PRODUCTS AND SERVICES,2399
CONSTRUCTION PRODUCTS AND SERVICES,2420
CONSTRUCTION PRODUCTS AND SERVICES,2530
CONSTRUCTION PRODUCTS AND SERVICES,3530
CONSTRUCTION PRODUCTS AND SERVICES,4212
CONSTRUCTION PRODUCTS AND SERVICES,4222
CONSTRUCTION PRODUCTS AND SERVICES,4291
DISTRIBUTION AND ELECTRONIC COMMERCE,4611
DISTRIBUTION AND ELECTRONIC COMMERCE,4612
DISTRIBUTION AND ELECTRONIC COMMERCE,4613
DISTRIBUTION AND ELECTRONIC COMMERCE,4614
DISTRIBUTION AND ELECTRONIC COMMERCE,4615
DISTRIBUTION AND ELECTRONIC COMMERCE,4616
DISTRIBUTION AND ELECTRONIC COMMERCE,4617
DISTRIBUTION AND ELECTRONIC COMMERCE,4618
DISTRIBUTION AND ELECTRONIC COMMERCE,4619
DISTRIBUTION AND ELECTRONIC COMMERCE,4621
DISTRIBUTION AND ELECTRONIC COMMERCE,4622
DISTRIBUTION AND ELECTRONIC COMMERCE,4623
DISTRIBUTION AND ELECTRONIC COMMERCE,4624
DISTRIBUTION AND ELECTRONIC COMMERCE,4631
DISTRIBUTION AND ELECTRONIC COMMERCE,4632
DISTRIBUTION AND ELECTRONIC COMMERCE,4634
DISTRIBUTION AND ELECTRONIC COMMERCE,4635
DISTRIBUTION AND ELECTRONIC COMMERCE,4638
DISTRIBUTION AND ELECTRONIC COMMERCE,4641
DISTRIBUTION AND ELECTRONIC COMMERCE,4642
DISTRIBUTION AND ELECTRONIC COMMERCE,4643
DISTRIBUTION AND ELECTRONIC COMMERCE,4644
DISTRIBUTION AND ELECTRONIC COMMERCE,4645
DISTRIBUTION AND ELECTRONIC COMMERCE,4646
DISTRIBUTION AND ELECTRONIC COMMERCE,4647
DISTRIBUTION AND ELECTRONIC COMMERCE,4648
DISTRIBUTION AND ELECTRONIC COMMERCE,4649
DISTRIBUTION AND ELECTRONIC COMMERCE,4651
DISTRIBUTION AND ELECTRONIC COMMERCE,4652
DISTRIBUTION AND ELECTRONIC COMMERCE,4661
DISTRIBUTION AND ELECTRONIC COMMERCE,4662
DISTRIBUTION AND ELECTRONIC COMMERCE,4663
DISTRIBUTION AND ELECTRONIC COMMERCE,4664
DISTRIBUTION AND ELECTRONIC COMMERCE,4665
DISTRIBUTION AND ELECTRONIC COMMERCE,4666
DISTRIBUTION AND ELECTRONIC COMMERCE,4669
DISTRIBUTION AND ELECTRONIC COMMERCE,4671
DISTRIBUTION AND ELECTRONIC COMMERCE,4672
DISTRIBUTION AND ELECTRONIC COMMERCE,4676
DISTRIBUTION AND ELECTRONIC COMMERCE,4791
DISTRIBUTION AND ELECTRONIC COMMERCE,5210
DISTRIBUTION AND ELECTRONIC COMMERCE,7731
DISTRIBUTION AND ELECTRONIC COMMERCE,7732
DISTRIBUTION AND ELECTRONIC COMMERCE,7733
DISTRIBUTION AND ELECTRONIC COMMERCE,7734
DISTRIBUTION AND ELECTRONIC COMMERCE,7735
DISTRIBUTION AND ELECTRONIC COMMERCE,7739
DISTRIBUTION AND ELECTRONIC COMMERCE,8292
DOWNSTREAM CHEMICAL PRODUCTS,2012
DOWNSTREAM CHEMICAL PRODUCTS,2030
DOWNSTREAM CHEMICAL PRODUCTS,2041
DOWNSTREAM CHEMICAL PRODUCTS,2042
DOWNSTREAM CHEMICAL PRODUCTS,2051
DOWNSTREAM CHEMICAL PRODUCTS,2052
DOWNSTREAM CHEMICAL PRODUCTS,2053
DOWNSTREAM CHEMICAL PRODUCTS,2059
DOWNSTREAM METAL PRODUCTS,2529
DOWNSTREAM METAL PRODUCTS,2540
DOWNSTREAM METAL PRODUCTS,2571
DOWNSTREAM METAL PRODUCTS,2572
DOWNSTREAM METAL PRODUCTS,2599
EDUCATION AND KNOWLEDGE CREATION,7211
EDUCATION AND KNOWLEDGE CREATION,7219
EDUCATION AND KNOWLEDGE CREATION,7220
EDUCATION AND KNOWLEDGE CREATION,8541
EDUCATION AND KNOWLEDGE CREATION,8542
EDUCATION AND KNOWLEDGE CREATION,8552
EDUCATION AND KNOWLEDGE CREATION,8559
EDUCATION AND KNOWLEDGE CREATION,8560
WOOD PRODUCTS,1610
WOOD PRODUCTS,1621
WOOD PRODUCTS,1622
WOOD PRODUCTS,1623
WOOD PRODUCTS,1624
WOOD PRODUCTS,1629
ENVIRONMENTAL SERVICES,3600
ENVIRONMENTAL SERVICES,3812
ENVIRONMENTAL SERVICES,3822
ENVIRONMENTAL SERVICES,3832
FINANCIAL SERVICES,6411
FINANCIAL SERVICES,6430
FINANCIAL SERVICES,6491
FINANCIAL SERVICES,6492
FINANCIAL SERVICES,6499
FINANCIAL SERVICES,6611
FINANCIAL SERVICES,6612
FINANCIAL SERVICES,6619
FINANCIAL SERVICES,6630
FISHING AND FISHING PRODUCTS,1020
FOOD PROCESSING AND MANUFACTURING,1031
FOOD PROCESSING AND MANUFACTURING,1032
FOOD PROCESSING AND MANUFACTURING,1039
FOOD PROCESSING AND MANUFACTURING,1041
FOOD PROCESSING AND MANUFACTURING,1042
FOOD PROCESSING AND MANUFACTURING,1051
FOOD PROCESSING AND MANUFACTURING,1052
FOOD PROCESSING AND MANUFACTURING,1061
FOOD PROCESSING AND MANUFACTURING,1062
FOOD PROCESSING AND MANUFACTURING,1072
FOOD PROCESSING AND MANUFACTURING,1073
FOOD PROCESSING AND MANUFACTURING,1081
FOOD PROCESSING AND MANUFACTURING,1082
FOOD PROCESSING AND MANUFACTURING,1083
FOOD PROCESSING AND MANUFACTURING,1084
FOOD PROCESSING AND MANUFACTURING,1085
FOOD PROCESSING AND MANUFACTURING,1086
FOOD PROCESSING AND MANUFACTURING,1089
FOOD PROCESSING AND MANUFACTURING,1091
FOOD PROCESSING AND MANUFACTURING,1092
FOOD PROCESSING AND MANUFACTURING,1101
FOOD PROCESSING AND MANUFACTURING,1102
FOOD PROCESSING AND MANUFACTURING,1103
FOOD PROCESSING AND MANUFACTURING,1104
FOOD PROCESSING AND MANUFACTURING,1105
FOOD PROCESSING AND MANUFACTURING,1106
FOOD PROCESSING AND MANUFACTURING,1107
FOOTWEAR,1511
FOOTWEAR,1520
FURNITURE,3101
FURNITURE,3102
FURNITURE,3103
FURNITURE,3109
HOSPITALITY AND TOURISM,5510
HOSPITALITY AND TOURISM,5520
HOSPITALITY AND TOURISM,5530
HOSPITALITY AND TOURISM,5590
HOSPITALITY AND TOURISM,7721
HOSPITALITY AND TOURISM,7911
HOSPITALITY AND TOURISM,7912
HOSPITALITY AND TOURISM,7990
HOSPITALITY AND TOURISM,9102
HOSPITALITY AND TOURISM,9103
HOSPITALITY AND TOURISM,9104
HOSPITALITY AND TOURISM,9200
HOSPITALITY AND TOURISM,9311
HOSPITALITY AND TOURISM,9312
HOSPITALITY AND TOURISM,9319
HOSPITALITY AND TOURISM,9321
HOSPITALITY AND TOURISM,9329
INFORMATION TECHNOLOGY AND ANALYTICAL INSTRUMENTS,2611
INFORMATION TECHNOLOGY AND ANALYTICAL INSTRUMENTS,2612
INFORMATION TECHNOLOGY AND ANALYTICAL INSTRUMENTS,2620
INFORMATION TECHNOLOGY AND ANALYTICAL INSTRUMENTS,2640
INFORMATION TECHNOLOGY AND ANALYTICAL INSTRUMENTS,2651
INFORMATION TECHNOLOGY AND ANALYTICAL INSTRUMENTS,2652
INFORMATION TECHNOLOGY AND ANALYTICAL INSTRUMENTS,2670
INFORMATION TECHNOLOGY AND ANALYTICAL INSTRUMENTS,2680
INFORMATION TECHNOLOGY AND ANALYTICAL INSTRUMENTS,5821
INFORMATION TECHNOLOGY AND ANALYTICAL INSTRUMENTS,5829
INSURANCE SERVICES,6511
INSURANCE SERVICES,6512
INSURANCE SERVICES,6520
INSURANCE SERVICES,6621
INSURANCE SERVICES,6629
JEWELLERY AND PRECIOUS METALS,3211
JEWELLERY AND PRECIOUS METALS,3212
JEWELLERY AND PRECIOUS METALS,3213
LEATHER AND RELATED PRODUCTS,1512
LIGHTING AND ELECTRICAL EQUIPMENT,2711
LIGHTING AND ELECTRICAL EQUIPMENT,2712
LIGHTING AND ELECTRICAL EQUIPMENT,2720
LIGHTING AND ELECTRICAL EQUIPMENT,2731
LIGHTING AND ELECTRICAL EQUIPMENT,2732
LIGHTING AND ELECTRICAL EQUIPMENT,2733
LIGHTING AND ELECTRICAL EQUIPMENT,2740
LIGHTING AND ELECTRICAL EQUIPMENT,2790
LIVESTOCK PROCESSING,1011
LIVESTOCK PROCESSING,1012
LIVESTOCK PROCESSING,1013
"MARKETING, DESIGN, AND PUBLISHING",5811
"MARKETING, DESIGN, AND PUBLISHING",5812
"MARKETING, DESIGN, AND PUBLISHING",5814
"MARKETING, DESIGN, AND PUBLISHING",5819
"MARKETING, DESIGN, AND PUBLISHING",6312
"MARKETING, DESIGN, AND PUBLISHING",6399
"MARKETING, DESIGN, AND PUBLISHING",7021
"MARKETING, DESIGN, AND PUBLISHING",7311
"MARKETING, DESIGN, AND PUBLISHING",7312
"MARKETING, DESIGN, AND PUBLISHING",7320
"MARKETING, DESIGN, AND PUBLISHING",7410
"MARKETING, DESIGN, AND PUBLISHING",9101
MEDICAL DEVICES,2660
MEDICAL DEVICES,3250
METALWORKING TECHNOLOGY,2391
